description	n_missing	n_non_missing	PHESANT_transformation	n_cases	n_controls	variable_type	source	notes	phenotype	raymond_both_sexes_qc	dominance_qc	dominance_qc_no_ordinal
Food weight	309741	51453	100001_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Total food weight. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100001_irnt	TRUE	TRUE	TRUE
Food weight	309741	51453	100001_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Total food weight. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100001_raw	FALSE	FALSE	FALSE
Energy	309741	51453	100002_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Total energy. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100002_irnt	TRUE	TRUE	TRUE
Energy	309741	51453	100002_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Total energy. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100002_raw	FALSE	FALSE	FALSE
Protein	309741	51453	100003_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Protein. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100003_irnt	TRUE	TRUE	TRUE
Protein	309741	51453	100003_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Protein. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100003_raw	FALSE	FALSE	FALSE
Fat	309741	51453	100004_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Total fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100004_irnt	TRUE	TRUE	TRUE
Fat	309741	51453	100004_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Total fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100004_raw	FALSE	FALSE	FALSE
Carbohydrate	309741	51453	100005_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Carbohydrate. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100005_irnt	TRUE	TRUE	TRUE
Carbohydrate	309741	51453	100005_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Carbohydrate. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100005_raw	FALSE	FALSE	FALSE
Saturated fat	309741	51453	100006_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||			continuous_irnt	phesant	Saturated fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100006_irnt	TRUE	TRUE	TRUE
Saturated fat	309741	51453	100006_0|| CONTINUOUS MAIN || CONTINUOUS ||  ||			continuous_raw	phesant	Saturated fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	100006_raw	FALSE	FALSE	FALSE
